"Grid_Point
Latitude","Grid_Point
Longitude",Date,ERA5_RAIN (mm)
22.6,75.7,12-10-2005,0.0026
22.6,75.8,12-10-2005,0.0026
22.6,75.9,12-10-2005,0.0026
22.6,76,12-10-2005,0.0026
22.6,76.1,12-10-2005,0.0026
22.7,75.7,12-10-2005,0.0026
22.7,75.8,12-10-2005,0.0026
22.7,75.9,12-10-2005,0.0026
22.7,76,12-10-2005,0.0026
22.7,76.1,12-10-2005,0.0026
22.8,75.7,12-10-2005,0.0026
22.8,75.8,12-10-2005,0.0026
22.8,75.9,12-10-2005,0.0026
22.8,76,12-10-2005,0.0026
22.8,76.1,12-10-2005,0.0026
22.6,75.7,13-10-2005,0
22.6,75.8,13-10-2005,0
22.6,75.9,13-10-2005,0
22.6,76,13-10-2005,0
22.6,76.1,13-10-2005,0
22.7,75.7,13-10-2005,0
22.7,75.8,13-10-2005,0
22.7,75.9,13-10-2005,0
22.7,76,13-10-2005,0
22.7,76.1,13-10-2005,0
22.8,75.7,13-10-2005,0
22.8,75.8,13-10-2005,0
22.8,75.9,13-10-2005,0
22.8,76,13-10-2005,0
22.8,76.1,13-10-2005,0
22.6,75.7,14-10-2005,0.0026
22.6,75.8,14-10-2005,0.0026
22.6,75.9,14-10-2005,0.0026
22.6,76,14-10-2005,0.0026
22.6,76.1,14-10-2005,0.0026
22.7,75.7,14-10-2005,0.0026
22.7,75.8,14-10-2005,0.0026
22.7,75.9,14-10-2005,0.0026
22.7,76,14-10-2005,0.0026
22.7,76.1,14-10-2005,0.0026
22.8,75.7,14-10-2005,0.0026
22.8,75.8,14-10-2005,0.0026
22.8,75.9,14-10-2005,0.0026
22.8,76,14-10-2005,0.0026
22.8,76.1,14-10-2005,0.0026
22.6,75.7,15-10-2005,0.0017
22.6,75.8,15-10-2005,0.0018
22.6,75.9,15-10-2005,0.0031
22.6,76,15-10-2005,0.0067
22.6,76.1,15-10-2005,0.0176
22.7,75.7,15-10-2005,0.0017
22.7,75.8,15-10-2005,0.0017
22.7,75.9,15-10-2005,0.0017
22.7,76,15-10-2005,0.0017
22.7,76.1,15-10-2005,0.003
22.8,75.7,15-10-2005,0.0017
22.8,75.8,15-10-2005,0.0017
22.8,75.9,15-10-2005,0.0017
22.8,76,15-10-2005,0.0017
22.8,76.1,15-10-2005,0.0017
22.6,75.7,16-10-2005,0.4343
22.6,75.8,16-10-2005,0.3708
22.6,75.9,16-10-2005,0.2942
22.6,76,16-10-2005,0.1997
22.6,76.1,16-10-2005,0.1096
22.7,75.7,16-10-2005,0.4286
22.7,75.8,16-10-2005,0.3757
22.7,75.9,16-10-2005,0.3136
22.7,76,16-10-2005,0.2385
22.7,76.1,16-10-2005,0.1636
22.8,75.7,16-10-2005,0.3701
22.8,75.8,16-10-2005,0.3364
22.8,75.9,16-10-2005,0.2991
22.8,76,16-10-2005,0.2596
22.8,76.1,16-10-2005,0.2222
22.6,75.7,17-10-2005,0.2665
22.6,75.8,17-10-2005,0.3051
22.6,75.9,17-10-2005,0.3717
22.6,76,17-10-2005,0.4735
22.6,76.1,17-10-2005,0.5649
22.7,75.7,17-10-2005,0.2025
22.7,75.8,17-10-2005,0.2307
22.7,75.9,17-10-2005,0.286
22.7,76,17-10-2005,0.3818
22.7,76.1,17-10-2005,0.4796
22.8,75.7,17-10-2005,0.1198
22.8,75.8,17-10-2005,0.137
22.8,75.9,17-10-2005,0.1743
22.8,76,17-10-2005,0.2438
22.8,76.1,17-10-2005,0.3193
22.6,75.7,18-10-2005,0
22.6,75.8,18-10-2005,0
22.6,75.9,18-10-2005,0.0001
22.6,76,18-10-2005,0.0006
22.6,76.1,18-10-2005,0.0026
22.7,75.7,18-10-2005,0
22.7,75.8,18-10-2005,0
22.7,75.9,18-10-2005,0
22.7,76,18-10-2005,0
22.7,76.1,18-10-2005,0.0005
22.8,75.7,18-10-2005,0
22.8,75.8,18-10-2005,0
22.8,75.9,18-10-2005,0
22.8,76,18-10-2005,0
22.8,76.1,18-10-2005,0
